name,price_raw,source
36 EXTRA 14,1.0,BORNAGHI-FISEK
36 MAGNUM 19,5.0,BORNAGHI-FISEK
28 MAGNUM 32,5.0,BORNAGHI-FISEK
EXTRA Migratoria,8.0,BORNAGHI-FISEK
INFINITY 24,7.0,BORNAGHI-FISEK
SPORT 24,7.0,BORNAGHI-FISEK
WINNER 24,7.0,BORNAGHI-FISEK
ALL BLACK 24,7.0,BORNAGHI-FISEK
ITA EXCELLENCE 24,7.0,BORNAGHI-FISEK
EXTREME 24,7.0,BORNAGHI-FISEK
EXTREME 24,7.0,BORNAGHI-FISEK
Zz BIRD 28,7.0,BORNAGHI-FISEK
Zz PAPER 28,7.0,BORNAGHI-FISEK
RAPTOR 24 - YENİ -,7.0,BORNAGHI-FISEK
RAPTOR 24 - YENİ -,7.0,BORNAGHI-FISEK
RAPTOR 28 - YENİ -,7.0,BORNAGHI-FISEK
PAPER 28 - YENİ -,7.0,BORNAGHI-FISEK
CESARE 24 - YENİ -,7.0,BORNAGHI-FISEK
CESARE 28 - YENİ -,7.0,BORNAGHI-FISEK
7½ - 9 - 10,1.0,BORNAGHI-FISEK
B&P 24 GR COMP. ONE,1.0,BP
B&P 30 GR MB LIGHT,5.0,BP
B&P 32 GR VALLE STEEL (ÇELİK SAÇMA),128.0,BP
B&P 32 GR. NİKE,8.0,BP
B&P 32 GR MB CLASSIC,9.0,BP
B&P 33 GR AL.ANIGRINA,17.0,BP
B&P 34 GR F2 CLASSIC,20.0,BP
B&P 36 GR LONG RANGE,31.0,BP
B&P 32-33 GR GIGANTE KEÇE TAPA,37.0,BP
B&P 33 GR DISPERSANTE,39.0,BP
B&P 36 GR MYGRA COLOMBACCIO,44.0,BP
B&P 36 GR S.GİGANTE-TRICOLOR-S.FLASH(CARTONE),45.0,BP
B&P 37 GR-38 GR MG2 FLASH,51.0,BP
B&P 42 GR BABY MAGNUM,53.0,BP
B&P 36 GR ZERATİ,48000.0,BP
"BP 12 CAL 33,5GR. BİG GAME PALLETTONİ",49000.0,BP
B&P 30 GR. ACTİVE BAKIRLI ŞAVROTİN,108.0,BP
B&P 32 GR PALLA KURŞUN,65.0,BP
B&P 32 GR THRILL SHOCK KURŞUN,66.0,BP
B&P 32 GR BLACK SHOCK KURŞUN,67.0,BP
B&P 28 GR WHITE BLACKOUT HV KURŞUN,69.0,BP
"B&P 35,5 GR RED SHOCK KURŞUN",129.0,BP
B&P 35 GR HYPER SHOCK KURŞUN,130.0,BP
B&P 40 GR BLACK SHOCK MAGNUM KURŞUN,70.0,BP
B&P LEAD FREE KURŞUN,71.0,BP
B&P 20 CAL 28 GR F2 EXTRA,4.6,BP
B&P 20 CAL THRILL SHOCK KURŞUN,78.0,BP
B&P 28 CAL 17 GR THRILL SHOCK KURŞUN,81.0,BP
B&P 36 CAL 15 GR EXTRA ROSSA,82.0,BP
B&P 36 CAL 21 GR MAGNUM,83.0,BP
STANDART PLASTİK K.,701.0,CAPRA
STANDART AHŞAP K.,701.0,CAPRA
STANDART KAMUFLAJLI,701.0,CAPRA
KAPAKLI LAZER İŞLEME DEKORLU KUNDAK,701.0,CAPRA
PLASTİK GİYDİRMELİ SAFARİ MODEL,701.0,CAPRA
STANDART 10+1 SPORT RENKLİ,701.0,CAPRA
NİKEL - MARİN PLASTİK K.,701.0,CAPRA
NİKEL - MARİN AHŞAP K.,701.0,CAPRA
BARAK KASA SİYAH AHŞAP K.,505.0,CAPRA
BARAK KASA RENKLİ AHŞAP K.,506.0,CAPRA
STANDART ASİT İŞLEME - ALTIN İŞLEME,601.0,CAPRA
TACTİCAL ASLAN GEZLİ SİYAH SAÇLI,201.0,CAPRA
TACTİCAL ASLAN GEZLİ KAMUFLAJLI SAÇLI,201.0,CAPRA
TACTİCAL ASLAN GEZLİ SİYAH SAÇSIZ,202.0,CAPRA
TACTİCAL KIRKAYAKLI SİYAH SAÇSIZ,203.0,CAPRA
TACTİCAL ASLAN GEZLİ - HAKİ SAÇLI,204.0,CAPRA
TACTİCAL ASLAN GEZLİ - FDE SAÇLI,205.0,CAPRA
ASİT İŞLEME RENKLİ KASA AHŞAP K.,801.0,CAPRA
ASİT İŞLEME RENKLİ KASA AHŞAP K.,901.0,CAPRA
CONTİLEVER SİYAH,701.0,CAPRA
CONTİLEVER RENKLİ,701.0,CAPRA
CONTİLEVER KAMUFLAJLI,701.0,CAPRA
STANDART SİYAH PLASTİK K.,101.0,CAPRA
STANDART SİYAH AHŞAP K.,105.0,CAPRA
STANDART SİYAH KIRKAYAKLI PLASTİK K.,101.0,CAPRA
PLASTİK GİYDİRMELİ SAFARİ MODEL,101.0,CAPRA
SATANDART NİKEL - MARİN AHŞAP K.,101.0,CAPRA
SATANDART NİKEL - MARİN PLASTİK K.,104.0,CAPRA
TACTİCAL ASLAN GEZLİ - SİYAH SAÇSIZ,101.0,CAPRA
TACTİCAL ASLAN GEZLİ - SİYAH SAÇLI,101.0,CAPRA
TACTİCAL ASLAN GEZLİ - HAKİ SAÇLI,101.0,CAPRA
TACTİCAL ASLAN GEZLİ - FDE SAÇLI,101.0,CAPRA
MOD 101 PRO,10500.0,CAPRA
MOD 101 PRO,10750.0,CAPRA
TEK KIRMA PLASTİK,1.0,CAPRA
TEK KIRMA AĞAÇ,2.0,CAPRA
KM-12 SİYAH,12.0,CAPRA
KM-12 SİYAH- PUNTALI,12.0,CAPRA
KM-12 RENKLİ,12.0,CAPRA
KM-12 RENKLİ PUNTALI,12.0,CAPRA
KM-12 KAMUFLAJLI,12.0,CAPRA
KM-12 KAMUFLAJLI ( ÇİZGİFİLM ),12.0,CAPRA
KA-12 SİYAH,12.0,CAPRA
KA-12 RENKLİ,12.0,CAPRA
KA-12 KAMUFLAJ,12.0,CAPRA
KA-12 PRO SİYAH,12.0,CAPRA
KA-12 PRO RENKLİ,12.0,CAPRA
T3 AQUILA 12 CAL 32 GR,1.0,CHEDDİTE
T3 AQUILA 12 CAL 34 GR,9.0,CHEDDİTE
T2 ELITE 12 CAL 32 GR,12.0,CHEDDİTE
T2 ELITE 12 CAL 34 GR,12.0,CHEDDİTE
T2 TORDO 12 CAL 32 GR,12.0,CHEDDİTE
T1 DRAGO 12 CAL 29 GR,12.0,CHEDDİTE
T1 ELITE 12 CAL BUCKSHOT,11.0,CHEDDİTE
XFS 12 CAL 32 GR SLUG,12.0,CHEDDİTE
T2 ELITE 36 CAL 12 GR,31.0,CHEDDİTE
T2 PALLA 36 CAL 8 GR SLUG,35.0,CHEDDİTE
FD63A / FD62A,12.0,DAĞLIOĞLU
"₺24.250,00",12.0,DAĞLIOĞLU
FD-63 TACTİCAL,12.0,DAĞLIOĞLU
FD-63 TACTİCAL BRONZ (PLASTİK),12.0,DAĞLIOĞLU
FD-63 / FD-62(PLASTİK DİPÇİK),12.0,DAĞLIOĞLU
FD-63 / FD-62(SPORT),12.0,DAĞLIOĞLU
FD-63 / FD-62 DRAGUNOV,12.0,DAĞLIOĞLU
FD-63 / FD-62(GOLD),12.0,DAĞLIOĞLU
FD-63 LUX DRAGUNOV,12.0,DAĞLIOĞLU
"₺20.100,00",12.0,DAĞLIOĞLU
FD-63 / FD-62 FUL GRAVÜRLÜ,12.0,DAĞLIOĞLU
FD20A / FD21A,20.0,DAĞLIOĞLU
FD-20 TACTİCAL,20.0,DAĞLIOĞLU
FD-20 / FD-21(PLASTİK DİPÇİK),20.0,DAĞLIOĞLU
FD-20 / FD-21(SPORT),20.0,DAĞLIOĞLU
FD-20 / FD-21(DRAGUNOV),20.0,DAĞLIOĞLU
"₺21.300,00",20.0,DAĞLIOĞLU
FD-20 / FD-21(GOLD),20.0,DAĞLIOĞLU
FD-20 / FD-21 FUL GRAVÜRLÜ,20.0,DAĞLIOĞLU
"₺20.950,00",36.0,DAĞLIOĞLU
FD-47 TACTİCAL,36.0,DAĞLIOĞLU
FD 47(PLASTİK DİPÇİK),36.0,DAĞLIOĞLU
FD-47(SPORT),36.0,DAĞLIOĞLU
FD-47 (DRAGUNOV),36.0,DAĞLIOĞLU
FD-47(GOLD),36.0,DAĞLIOĞLU
FD-47 FUL GRAVÜRLÜ,36.0,DAĞLIOĞLU
2 Lİ YEDEK SARJOR,63.0,DAĞLIOĞLU
5 Lİ YEDEK SARJOR,63.0,DAĞLIOĞLU
